arm,seed,case_id,K,alpha,regime,complete,failure_time,mass_drift,momentum_drift,energy_drift,late_field_log10_rmse,late_electric_mode1_phase_mae,late_perturbation_relative_l2
C,0,K0p474_a0p051,0.474,0.051,weak,True,,1.3709068298339844e-06,1.6490230336785316e-07,4.740929535090227e-06,2.804609040896646,1.0656451144427304,5.305132593645982
C,0,K0p295_a0p178,0.295,0.178,strong_nonlinear,True,,5.960464477539062e-07,8.25471943244338e-07,4.235720679635502e-05,0.6763432113149279,0.27991208326896083,0.7326786106411775
C,0,K0p299_a0p105,0.299,0.105,strong_nonlinear,True,,2.086162567138672e-06,2.382286766078323e-06,2.0211429518478412e-05,0.5418790237003415,0.17814215833258862,0.3905544461259141
C,0,K0p321_a0p185,0.321,0.185,transition,True,,5.960464477539062e-07,1.4320830814540386e-06,3.567870923630796e-05,0.7841329980538427,0.6481427248656384,0.927421893977175
C,0,K0p412_a0p043,0.412,0.043,transition,True,,6.556510925292969e-07,3.9174483390524983e-07,5.4539228881699195e-06,1.2552510326459778,0.7612389189434778,1.8807995239253803
C,0,K0p409_a0p182,0.409,0.182,strong_nonlinear,True,,1.1920928955078125e-06,1.2675009202212095e-06,7.15901917098558e-06,1.1906517514813846,1.7000904470024565,1.0380875814212684
C,1,K0p280_a0p085,0.28,0.085,strong_nonlinear,True,,1.1920928955078125e-06,1.4293473213911057e-06,2.313354459691565e-05,0.5521312678712289,0.16086886640186177,0.2330875314557021
C,1,K0p303_a0p035,0.303,0.035,transition,True,,9.5367431640625e-07,1.8686114344745874e-07,4.381512763465099e-06,0.42306076684635735,0.1317346580520776,0.25910778846497806
C,1,K0p361_a0p035,0.361,0.035,transition,True,,1.7285346984863281e-06,3.518496214383049e-07,5.932581667325974e-06,0.6645689275152934,0.1973250939834585,0.5937892238265278
C,1,K0p407_a0p105,0.407,0.105,strong_nonlinear,True,,8.344650268554688e-07,2.2715175873599946e-07,3.8072093778258433e-06,1.079219182234426,0.5179448359553558,0.7559747229674766
C,1,K0p454_a0p125,0.454,0.125,strong_nonlinear,True,,5.960464477539062e-07,5.106558091938496e-07,9.647893244682977e-06,1.1374303979491844,1.6369463533967967,1.379327682463354
C,1,K0p500_a0p165,0.5,0.165,strong_nonlinear,True,,1.2516975402832031e-06,4.236353561282158e-07,5.652676067293074e-06,1.174150604434434,1.1799091418941108,1.2637419578646225
C,1,K0p445_a0p030,0.445,0.03,weak,True,,1.6093254089355469e-06,8.850065569276921e-08,4.638621639526766e-06,2.354390473429368,0.9612028848467897,5.2752220654924455
C,1,K0p420_a0p122,0.42,0.122,strong_nonlinear,True,,1.3709068298339844e-06,1.2044620234519243e-07,2.5164403624223165e-06,1.3049975743059707,1.5703832579626709,1.0705976380351656
C,1,K0p372_a0p085,0.372,0.085,strong_nonlinear,True,,7.152557373046875e-07,3.177174221491441e-07,3.950001347647519e-06,0.8696853624221605,0.42705199541360916,0.6792649014178619
C,1,K0p368_a0p186,0.368,0.186,transition,False,77.79,5.960464477539062e-07,3.8298312574625015e-06,0.001073032714337254,,,
C,1,K0p472_a0p032,0.472,0.032,weak,True,,1.3113021850585938e-06,2.3581378627568483e-08,5.5899901592386e-06,2.923847838431271,1.109091368865806,8.037558902338194
